name,measure,measure_info,geo_type_name,geo_place_name,time_period,start_date,unique_id,indicator_id,geo_join_id,data_value
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Central Harlem - Morningside Heights,2005-2007,1/1/2005,336867,375,407,424.70
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2005-2007,1/1/2005,336741,375,107,354.20
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,High Bridge - Morrisania,2005-2007,1/1/2005,550157,375,414,308.00
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2009-2011,1/1/2009,412802,375,407,299.40
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Central Harlem - Morningside Heights,2005-2007,1/1/2005,412803,375,407,292.50
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Central Harlem - Morningside Heights,2009-2011,1/1/2009,412676,375,107,291.10
Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,Gramercy Park - Murray Hill,2013,1/1/2013,412677,375,107,284.70
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Hunts Point - Mott Haven,2005-2007,1/1/2005,603044,375,314,278.60
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Central Harlem - Morningside Heights,2012-2014,1/2/2012,412804,375,407,277.70
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2009-2011,1/1/2009,825832,375,107,276.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Central Harlem - Morningside Heights,2009-2011,1/1/2009,741291,375,414,269.90
Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,Upper East Side,2013,1/1/2013,166679,375,414,269.80
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2015-2017,1/1/2015,165912,375,414,262.30
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2012-2014,1/2/2012,167800,375,414,261.60
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Crotona -Tremont,2005-2007,1/1/2005,336888,375,414,257.10
Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,Gramercy Park - Murray Hill,2015,1/1/2015,741290,375,414,256.20
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Central Harlem - Morningside Heights,2012-2014,1/2/2012,603098,375,414,253.14
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Hunts Point - Mott Haven,2009-2011,1/1/2009,826075,375,414,251.30
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,High Bridge - Morrisania,2009-2011,1/1/2009,170430,365,307,249.30
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,High Bridge - Morrisania,2012-2014,1/2/2012,410984,365,107,248.90
Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,Upper West Side,2013,1/1/2013,742558,365,414,247.90
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2012-2014,1/2/2012,169393,365,414,241.33
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Hunts Point - Mott Haven,2012-2014,1/2/2012,169452,365,414,237.60
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Crotona -Tremont,2012-2014,1/2/2012,166856,375,414,234.90
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Hunts Point - Mott Haven,2012-2014,1/2/2012,166915,375,414,233.19
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Fordham - Bronx Pk,2012-2014,1/2/2012,213253,375,307,232.60
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,High Bridge - Morrisania,2012-2014,1/2/2012,643639,375,307,232.54
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Central Harlem - Morningside Heights,2015-2017,1/1/2015,603046,375,314,228.60
Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,Upper East Side,2015,1/1/2015,643693,375,407,225.90
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Hunts Point - Mott Haven,2015-2017,1/1/2015,825830,375,107,225.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2005-2007,1/1/2005,603100,375,414,224.80
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,High Bridge - Morrisania,2015-2017,1/1/2015,643714,375,414,220.80
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2015-2017,1/1/2015,826077,375,414,215.50
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Crotona -Tremont,2012-2014,1/2/2012,165794,375,414,214.14
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2017-2019,1/1/2017,213278,375,414,214.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Bedford Stuyvesant - Crown Heights,2012-2014,1/2/2012,411022,365,207,213.90
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Borough,Bronx,2005-2007,1/1/2005,169545,365,307,212.50
Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,Upper West Side,2015,1/1/2015,170455,365,414,210.50
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,Bronx,2012-2014,1/2/2012,742560,365,414,210.40
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Central Harlem - Morningside Heights,2005-2007,1/1/2005,547765,365,414,209.90
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Hunts Point - Mott Haven,2009-2011,1/1/2009,168567,365,414,206.30
Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,Chelsea - Clinton,2013,1/1/2013,169334,365,414,204.80
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,East Harlem,2005-2007,1/1/2005,643640,375,307,202.70
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,High Bridge - Morrisania,2009-2011,1/1/2009,336866,375,407,202.00
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Crotona -Tremont,2009-2011,1/1/2009,667808,375,407,200.20
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Crotona -Tremont,2015-2017,1/1/2015,823206,365,107,199.60
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Williamsburg - Bushwick,2012-2014,1/2/2012,606059,365,414,196.90
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Bedford Stuyvesant - Crown Heights,2005-2007,1/1/2005,742559,365,414,195.40
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Hunts Point - Mott Haven,2015-2017,1/1/2015,823566,365,414,194.70
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,High Bridge - Morrisania,2005-2007,1/1/2005,169570,365,414,193.70
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Central Harlem - Morningside Heights,2015-2017,1/1/2015,169511,365,414,193.10
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Crotona -Tremont,2005-2007,1/1/2005,411112,365,407,192.70
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Hunts Point - Mott Haven,2017-2019,1/1/2017,667850,375,414,192.00
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Fordham - Bronx Pk,2012-2014,1/2/2012,643715,375,414,191.40
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Bedford Stuyvesant - Crown Heights,2009-2011,1/1/2009,877256,375,414,191.40
Annual vehicle miles traveled,Million miles,per square mile,CD,Stuyvesant Town and Turtle Bay (CD6),2019,1/1/2019,877258,375,414,191.24
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Hunts Point - Mott Haven,2005-2007,1/1/2005,166030,375,414,189.10
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,High Bridge - Morrisania,2015-2017,1/1/2015,167623,375,414,188.60
Annual vehicle miles traveled,Million miles,per square mile,UHF42,Gramercy Park - Murray Hill,2019,1/1/2019,176652,375,211,188.25
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Fordham - Bronx Pk,2015-2017,1/1/2015,176676,375,504,187.80
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Williamsburg - Bushwick,2009-2011,1/1/2009,825979,375,504,185.80
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Williamsburg - Bushwick,2005-2007,1/1/2005,741094,375,409,185.70
Annual vehicle miles traveled,Million miles,per square mile,UHF42,Gramercy Park - Murray Hill,2005,1/1/2005,213607,375,307,185.55
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Williamsburg - Bushwick,2009-2011,1/1/2009,213784,365,307,184.60
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Northeast Bronx,2012-2014,1/2/2012,823204,365,107,184.40
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Crotona -Tremont,2009-2011,1/1/2009,213809,365,414,183.90
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Borough,Bronx,2012-2014,1/2/2012,606061,365,414,183.64
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East New York,2012-2014,1/2/2012,650059,365,414,182.40
Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,Chelsea - Clinton,2015,1/1/2015,823568,365,414,181.50
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,High Bridge - Morrisania,2017-2019,1/1/2017,667809,375,407,181.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Central Harlem - Morningside Heights,2017-2019,1/1/2017,172094,375,409,181.00
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Borough,Manhattan,2005-2007,1/1/2005,336693,375,409,179.40
Annual vehicle miles traveled,Million miles,per square mile,CD,Stuyvesant Town and Turtle Bay (CD6),2010,1/1/2010,549977,375,404406,178.58
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Bedford Stuyvesant - Crown Heights,2009-2011,1/1/2009,741111,375,404406,178.40
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,Bronx,2015-2017,1/1/2015,172099,375,404406,177.50
Annual vehicle miles traveled,Million miles,per square mile,CD,Stuyvesant Town and Turtle Bay (CD6),2005,1/1/2005,172745,375,404406,176.74
Annual vehicle miles traveled (cars),Million miles,per square mile,CD,Stuyvesant Town and Turtle Bay (CD6),2019,1/1/2019,171657,375,404406,176.53
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Washington Heights,2005-2007,1/1/2005,336708,375,404406,175.90
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East New York,2005-2007,1/1/2005,412520,375,404,175.60
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Bedford Stuyvesant - Crown Heights,2015-2017,1/1/2015,412521,375,404,173.90
Annual vehicle miles traveled,Million miles,per square mile,UHF42,Gramercy Park - Murray Hill,2010,1/1/2010,172196,375,409,173.36
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,High Bridge - Morrisania,2005-2007,1/1/2005,172230,375,409,171.20
Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,Gramercy Park - Murray Hill,2005,1/1/2005,602903,375,409,169.48
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Hunts Point - Mott Haven,2005-2007,1/1/2005,825880,375,409,169.40
Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,Gramercy Park - Murray Hill,2019,1/1/2019,602918,375,404406,168.72
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Fordham - Bronx Pk,2005-2007,1/1/2005,825865,375,404406,167.20
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Crotona -Tremont,2015-2017,1/1/2015,172201,375,404406,167.20
